,x,y,weights
453,116658.398,10059985.9769,1
454,116064.93450000044,10060021.0539,1
455,116246.17090000026,10060041.4782,1
456,116159.81670000032,10060074.6875,1
457,116669.59949999955,10060115.452,1
458,116184.21839999966,10060120.9923,1
459,116629.33800000045,10060133.8971,1
460,116258.47240000032,10060240.9576,1
461,116096.86000000034,10060251.577,1
462,116343.79800000042,10060262.4891,1
463,116068.31280000042,10060368.9694,1
464,116698.3668,10060383.3462,1
465,116070.46989999991,10060434.2356,1
466,116605.73319999967,10060553.9358,1
467,116616.8702999996,10060570.2461,1
468,116602.04270000011,10060586.5714,1
469,116113.48369999975,10060594.7476,1
470,116201.07689999975,10059010.3841,1
471,116678.1721,10059346.4533,1
472,116673.41079999972,10059360.141,1
473,116682.95749999955,10059375.3998,1
474,116635.27699999977,10059393.3224,1
475,116658.59570000041,10059399.0991,1
476,116632.10300000012,10059402.7985,1
477,116675.55910000019,10059411.1956,1
478,116653.83490000013,10059413.8396,1
479,116520.30310000014,10059417.0729,1
480,116687.23249999993,10059439.0854,1
481,116580.72929999977,10059449.1461,1
482,116659.15610000025,10059453.3126,1
483,116678.76960000023,10059466.4603,1
484,116535.69830000028,10059467.0673,1
485,116574.38150000013,10059468.6245,1
486,116551.0663999999,10059469.164,1
487,116593.4606999997,10059473.8773,1
488,116563.25850000046,10059477.0524,1
489,116630.0279000001,10059481.7519,1
490,116642.2176,10059485.4294,1
491,116622.61209999956,10059486.4932,1
492,116665.5334999999,10059486.469,1
493,116598.23929999955,10059490.7177,1
494,116648.05439999979,10059499.6375,1
495,116612.02219999954,10059500.7105,1
496,116640.64219999965,10059510.695,1
497,116688.3359000003,10059516.4579,1
498,116528.31240000017,10059524.9698,1
499,116621.045,10059526.4965,1
500,116696.29119999986,10059528.5594,1
501,116681.98579999991,10059531.7256,1
502,116582.36799999978,10059535.9926,1
503,116676.68950000033,10059536.4657,1
504,116676.16229999997,10059541.2031,1
505,116552.70430000033,10059554.4316,1
506,116412.8172000004,10059563.9849,1
507,116673.52830000035,10059568.5747,1
508,116643.32490000036,10059569.6445,1
509,116667.1776,10059582.7897,1
510,116661.88489999995,10059593.846,1
511,116674.6086,10059604.8921,1
512,116374.16220000014,10059612.4308,1
513,116482.7977,10059624.4754,1
514,116464.8032999998,10059663.4354,1
515,116402.28749999963,10059684.5247,1
516,116521.29320000019,10059448.0323,1
517,116721.6902,10059464.857,1
518,116711.1026999997,10059483.2852,1
519,116723.8273,10059495.9103,1
520,113610.0895999996,10057296.3133,1
521,113431.54030000046,10057353.2586,1
522,113421.49129999988,10057388.5306,1
523,113534.3945000004,10057446.3688,1
524,113568.84619999956,10057460.0353,1
525,113605.47319999989,10057574.7627,1
526,115565.13179999962,10057938.5575,1
527,115171.97329999972,10057991.4099,1
528,115211.19919999968,10058015.0743,1
529,115626.1177000003,10058024.3196,1
530,115454.06929999962,10058330.7531,1
531,115606.68319999985,10058334.8793,1
532,115504.41289999988,10058335.9887,1
533,115716.94930000044,10058419.0346,1
